"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000020405.5",8225.01899308302,-5.12856693743515,0.335279740645631,-15.2963818438875,8.08268684584862e-53,1.4629663190986e-48,"Fabp6","16204"
"ENSMUSG00000090264.2",2492.59159973792,3.75571662410795,0.282640079965639,13.2879831641873,2.71806042933338e-40,2.45984468854671e-36,"Eif4ebp3","108112"
"ENSMUSG00000032315.7",1068.27149237725,-10.084321316166,0.797499920683457,-12.6449182684855,1.1934858629733e-36,7.20069803993893e-33,"Cyp1a1","13076"
"ENSMUSG00000027875.13",48506.0029044932,4.60309266446383,0.373741600313241,12.3162437914481,7.40644218434789e-35,3.35141508841742e-31,"Hmgcs2","15360"
"ENSMUSG00000042010.17",1405.70584970121,3.43642804644624,0.292791788622571,11.7367637344367,8.25865587186921e-32,2.98963342561665e-28,"Acacb","100705"
"ENSMUSG00000066687.6",446.068707341368,4.89599716401772,0.431989717793887,11.3335965240583,8.94545687063187e-30,2.69854615597395e-26,"Zbtb16","235320"
"ENSMUSG00000025203.7",2014.52095504794,-3.01491775456145,0.268209658103128,-11.2408992870876,2.56753388356918e-29,6.63890904180031e-26,"Scd2","20250"
"ENSMUSG00000072949.7",6928.54198451621,3.8303513329269,0.365023557006817,10.4934359972153,9.25984670730036e-26,2.09504031752671e-22,"Acot1","26897"
"ENSMUSG00000031762.8",12394.4677215854,3.3266215869814,0.318062791293958,10.4590089694173,1.33241953256159e-25,2.67964372659608e-22,"Mt2","17750"
"ENSMUSG00000021850.15",333.871502153098,-3.34903096444222,0.345546900219611,-9.69197223969816,3.26168376398892e-22,5.90364761281994e-19,"ccdc198","67082"
"ENSMUSG00000055748.13",1529.99744720523,-2.9829812259999,0.310276897880704,-9.61393273677371,6.98297359299466e-22,1.14901656393821e-18,"Gsdmc4","74548"
"ENSMUSG00000024222.18",7569.57546540076,2.64906851376137,0.310210473996789,8.53958436551305,1.34705481114396e-17,2.03180767347547e-14,"Fkbp5","14229"
"ENSMUSG00000028996.10",1036.79449125609,-2.37537349355487,0.284963565067823,-8.33570948970094,7.70348520094892e-17,1.07256217028596e-13,"Rbp7","63954"
"ENSMUSG00000030762.12",599.017774110455,-3.75784576976341,0.465173247809154,-8.07837894260234,6.56333837665367e-16,8.4854589012451e-13,"Aqp8","11833"
"ENSMUSG00000018623.10",7750.29320106532,2.07300385180433,0.259662302226896,7.98346095688901,1.42286332101498e-15,1.7169217406914e-12,"Mmp7","17393"
"ENSMUSG00000004814.11",124.18321404004,-4.00333588149188,0.512571591674143,-7.81029605721286,5.70538085705824e-15,6.45421209454714e-12,"Ccl24","56221"
"ENSMUSG00000022899.11",302.78828128958,2.70614943194702,0.364355498681461,7.42722270348632,1.10901552849395e-13,1.18077535680827e-10,"Slc15a2","57738"
"ENSMUSG00000033174.18",983.563379379162,2.54918263551735,0.345346896658934,7.38151308200384,1.56500634179288e-13,1.57370082146951e-10,"Mgll","23945"
"ENSMUSG00000111202.2",1171.45342800258,1.92961543610787,0.264807452707719,7.28686227059358,3.17256937518152e-13,3.02228977319924e-10,NA,NA
"ENSMUSG00000021226.8",3642.91115447755,2.510377532614,0.352889019607898,7.11378760212867,1.1290085667132e-12,1.02175275287545e-09,"Acot2","171210"
"ENSMUSG00000026043.19",221.4178826526,-4.23547095153614,0.601086918904758,-7.04635356106835,1.83667221738831e-12,1.58303653022517e-09,"Col3a1","12825"
"ENSMUSG00000031765.9",18380.2604263764,2.16377513300313,0.31079858280109,6.96198519794389,3.35510765285554e-12,2.68842641064878e-09,"Mt1","17748"
"ENSMUSG00000055827.14",175.825193460544,-2.77111329688281,0.398180388126873,-6.95944195021438,3.41623245552055e-12,2.68842641064878e-09,"Gsdmc3","270328"
"ENSMUSG00000031808.8",1344.25153135279,2.07315708620053,0.298616101340311,6.94254957082139,3.85085756131629e-12,2.90418841082604e-09,"Slc27a1","26457"
"ENSMUSG00000027313.4",102.175462699339,3.66193379585224,0.531728876307089,6.88684395191162,5.70437352883205e-12,4.1299664348744e-09,"Chac1","69065"
"ENSMUSG00000050014.9",209.989649586217,-2.89635316051704,0.421882647808845,-6.86530525860684,6.63492202314205e-12,4.61892648534119e-09,"Apol10b","328561"
"ENSMUSG00000056293.13",640.602875715231,-2.18998318883792,0.319967103130971,-6.84440108813781,7.67964770721637e-12,5.14820827780061e-09,"Gsdmc2","331063"
"ENSMUSG00000094797.2",101.896297980131,-3.86669637060085,0.574401451219638,-6.73169672950968,1.67695894321144e-11,1.08403417400454e-08,"Igkv6-15","108022"
"ENSMUSG00000052131.8",11518.9434341022,2.00743706653249,0.300893563174003,6.67158527871738,2.53054837324795e-11,1.57941122606165e-08,"Akr1b7","11997"
"ENSMUSG00000023176.10",93.8976872424541,3.81508263910192,0.581392882485396,6.56196997595297,5.31015095003756e-11,3.20379107318933e-08,"Cpn2","71756"
"ENSMUSG00000062181.15",78.0620737045349,6.270982834715,0.956972847888874,6.55293705411713,5.64163014231251e-11,3.29398405083408e-08,"Ces3b","13909"
"ENSMUSG00000026616.17",123.658718513451,-2.85609337326682,0.439510167559224,-6.49835563333574,8.12026659321497e-11,4.59302579178722e-08,"Cr2","12902"
