"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000066072.14",9057.59049868623,3.92854075542304,0.454044703458668,8.65232151261217,5.04622414557337e-18,9.07967110513017e-14,"Cyp4a10","13117"
"ENSMUSG00000032315.7",386.124239770799,-9.5397290726606,1.11889643100967,-8.52601617832685,1.51474088391642e-17,1.3627366362154e-13,"Cyp1a1","13076"
"ENSMUSG00000027875.13",41641.7355607214,4.61028059819989,0.576552628244487,7.99628754141227,1.28226733438071e-15,5.91134310252859e-12,"Hmgcs2","15360"
"ENSMUSG00000040808.5",12038.8733740036,-3.02142093644315,0.377995977260008,-7.99326214618639,1.31414285611707e-15,5.91134310252859e-12,"S100g","12309"
"ENSMUSG00000021850.15",349.911849637573,-3.49118722034628,0.446175593935541,-7.82469338932657,5.08895674876481e-15,1.8313119756105e-11,"ccdc198","67082"
"ENSMUSG00000070686.11",94.3173155619286,-4.86959742553772,0.675707388510821,-7.20666594495841,5.73384364289285e-13,1.71948414444285e-09,"Pramel34","381654"
"ENSMUSG00000055748.13",697.67978530689,-4.47480182281111,0.626510857319771,-7.14241703959358,9.17038655665369e-13,2.25219937071609e-09,"Gsdmc4","74548"
"ENSMUSG00000004328.16",210.402082041291,3.79070295728695,0.531631620074102,7.1303188413785,1.00136691856437e-12,2.25219937071609e-09,"Hif3a","53417"
"ENSMUSG00000098426.2",162.603931564274,10.9031824039269,1.58218991562933,6.89119700247242,5.53248576049705e-12,1.10606684765137e-08,NA,NA
"ENSMUSG00000073408.3",328.239991456502,-5.19819588740086,0.769477958519974,-6.75548380540899,1.42359409320985e-11,2.56147285191248e-08,"Mucl3","268949"
"ENSMUSG00000031762.8",9482.01564421136,2.7215181264949,0.422630709886057,6.43947082602831,1.19890756479765e-10,1.96108580121855e-07,"Mt2","17750"
"ENSMUSG00000030711.17",410.857735295647,2.72119388547065,0.436426665260063,6.23516870548941,4.51291468437573e-10,6.76673949299771e-07,"Sult1a1","20887"
"ENSMUSG00000078880.11",145.183313812294,3.22893363422804,0.530518976842445,6.0863678306968,1.15500920107425e-09,1.59862158114838e-06,"Gm14308","100043381"
"ENSMUSG00000037145.15",10498.55823424,-2.20295257217156,0.364737377456521,-6.03983224185507,1.5427453926545e-09,1.98275841785946e-06,"Lypd8l","78354"
"ENSMUSG00000042894.12",339.286208037809,-2.68974607475502,0.458499467935802,-5.86641046033152,4.45330575557132e-09,5.34188869733299e-06,"Olfr1260","258983"
